순번,대분류,상품명,대여횟수,제조사,구성품,장난감나라 위치
72,역할놀이,대형비행기 아기비행기장난감 -경찰,0,Eyimtech,"비행기, 합금차6개, 구성물11개","서울특별시 용산구 백범로 329, 1층"
73,역할놀이,대형비행기 아기비행기장난감 -경찰,0,Eyimtech,"비행기, 합금차6개, 구성물11개","서울특별시 용산구 백범로 329, 1층"
74,"조작,탐색",동물 실꿰기 놀이,0,고려베이비,"실, 블록12개","서울특별시 용산구 백범로 329, 1층"
75,"조작,탐색",동물 실꿰기 놀이,0,고려베이비,"실, 블록12개","서울특별시 용산구 백범로 329, 1층"
76,신체,레인지로버 이보크 붕붕카(레드),0,대호토이즈,본체1개,"서울특별시 용산구 백범로 329, 1층"
77,신체,레인지로버 이보크 붕붕카(화이트),1,대호토이즈,본체1개,"서울특별시 용산구 백범로 329, 1층"
78,신체,리틀 로드스터(붕붕카),1,라디오플라이어,본체1개,"서울특별시 용산구 백범로 329, 1층"
79,신체,리틀 로드스터(붕붕카),0,라디오플라이어,본체1개,"서울특별시 용산구 백범로 329, 1층"
80,"조작,탐색",수세기 5색 블록기차 7742,0,러닝리소스,"기관사, 기차엔진칸, 화물칸4개, 블록14개","서울특별시 용산구 백범로 329, 1층"
81,"조작,탐색",수세기 5색 블록기차 7742,0,러닝리소스,"기관사, 기차엔진칸, 화물칸4개, 블록14개","서울특별시 용산구 백범로 329, 1층"
82,역할놀이,로보카폴리기동본부 트레일러,0,로보카폴리,"트레일러, 폴리자동차","서울특별시 용산구 백범로 329, 1층"
83,역할놀이,로보카폴리기동본부 트레일러,0,로보카폴리,"트레일러, 폴리자동차","서울특별시 용산구 백범로 329, 1층"
84,음률,마이리얼잼 디제이믹서,1,리틀타익스,본체1개,"서울특별시 용산구 백범로 329, 1층"
85,음률,마이리얼잼 디제이믹서,1,리틀타익스,본체1개,"서울특별시 용산구 백범로 329, 1층"
86,역할놀이,퍼스트 식기세척기,1,리틀타익스,"세척기, 트레이2개, 세제, 식기10개, 수건","서울특별시 용산구 백범로 329, 1층"
87,역할놀이,퍼스트 식기세척기,1,리틀타익스,"세척기, 트레이2개, 세제, 식기10개, 수건","서울특별시 용산구 백범로 329, 1층"
88,역할놀이,ABC 청소기,1,립프로그,"청소기, 먼지칩10개","서울특별시 용산구 백범로 329, 1층"
89,역할놀이,ABC 청소기,1,립프로그,"청소기, 먼지칩10개","서울특별시 용산구 백범로 329, 1층"
90,역할놀이,피자카트,1,립프로그,"카트, 피자핸들, 피자4개, 커터, 토핑6개, 치즈통, 지폐, 접시, 동전, 포장박스","서울특별시 용산구 백범로 329, 1층"
